stop month,station id,number of bikes,avg trip duration,station name,latitude,longitude
January,337.0,1030,908.9126213592233,Old Slip & Front St,40.703799200000006,-74.00838676
January,339.0,764,826.8756544502618,Avenue D & E 12 St,40.72580614,-73.97422494
January,340.0,1201,686.5020815986678,Madison St & Clinton St,40.71269042,-73.98776323
January,341.0,905,770.5049723756906,Stanton St & Mangin St,40.71782143,-73.97628939
January,342.0,1470,670.6659863945579,Columbia St & Rivington St,40.71739973,-73.98016555
January,343.0,500,842.298,Clinton Ave & Flushing Ave,40.69794,-73.96986848
January,344.0,681,609.935389133627,Monroe St & Bedford Ave,40.6851443,-73.95380904
January,346.0,1914,690.8453500522467,Bank St & Hudson St,40.73652889,-74.00618026
January,347.0,2384,795.1371644295302,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001
January,349.0,1204,780.8712624584717,Rivington St & Ridge St,40.71850211,-73.98329859
January,350.0,3056,689.70222513089,Clinton St & Grand St,40.71559509,-73.9870295
January,351.0,1280,1702.303125,Front St & Maiden Ln,40.70530954,-74.00612572
January,353.0,750,848.2586666666666,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
January,354.0,682,608.4002932551319,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
January,355.0,2070,744.2642512077294,Bayard St & Baxter St,40.71602118,-73.99974372
January,356.0,996,663.1957831325301,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
January,357.0,1666,661.9777911164466,E 11 St & Broadway,40.73261787,-73.99158043
January,358.0,4010,718.027680798005,Christopher St & Greenwich St,40.73291553,-74.00711384
January,359.0,5135,768.710029211295,E 47 St & Park Ave,40.75510267,-73.97498696
January,360.0,1455,964.2969072164949,William St & Pine St,40.70717936,-74.00887308
January,361.0,2134,713.1148078725398,Allen St & Hester St,40.71605866,-73.99190759
January,362.0,1418,648.0380818053596,Broadway & W 37 St,40.75172632,-73.98753523
January,363.0,1750,711.8577142857143,West Thames St,40.70834698,-74.01713445
January,364.0,760,2039.9881578947368,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
January,365.0,573,619.9860383944153,Fulton St & Grand Ave,40.68223166,-73.9614583
January,366.0,1399,592.1615439599714,Clinton Ave & Myrtle Ave,40.693261,-73.968896
January,368.0,4074,754.7837506136475,Carmine St & 6 Ave,40.73038599,-74.00214988
January,369.0,1682,653.2080856123662,Washington Pl & 6 Ave,40.73224119,-74.00026394
January,372.0,229,934.1048034934498,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
January,373.0,278,1230.2625899280577,Willoughby Ave & Walworth St,40.69331716,-73.95381995
January,376.0,535,794.8355140186916,John St & William St,40.70862144,-74.00722156
January,377.0,2521,866.7770725902419,6 Ave & Canal St,40.72243797,-74.00566443
January,379.0,4623,698.4613887086308,W 31 St & 7 Ave,40.749156,-73.9916
January,380.0,2748,799.0560407569142,W 4 St & 7 Ave S,40.73401143,-74.00293877
January,382.0,4033,727.6769154475577,University Pl & E 14 St,40.73492695,-73.99200509
January,383.0,2092,604.2643403441682,Greenwich Ave & Charles St,40.735238,-74.000271
January,385.0,1841,737.1146116241173,E 55 St & 2 Ave,40.75797322,-73.96603308
January,386.0,1087,1001.7368905243791,Centre St & Worth St,40.71494807,-74.00234482
January,387.0,2924,1040.2301641586866,Centre St & Chambers St,40.71273266,-74.0046073
January,388.0,2319,721.6662354463131,W 26 St & 10 Ave,40.749717753,-74.002950346
January,389.0,1035,764.4995169082125,Broadway & Berry St,40.71044554,-73.96525063
January,390.0,1074,725.5111731843575,Duffield St & Willoughby St,40.69221589,-73.9842844
January,391.0,1558,667.9101412066752,Clark St & Henry St,40.69760127,-73.99344559
January,392.0,1000,1180.341,Jay St & Tech Pl,40.695065,-73.987167
January,393.0,1440,596.9347222222223,E 5 St & Avenue C,40.72299208,-73.97995466
January,394.0,2144,627.6660447761194,E 9 St & Avenue C,40.72521311,-73.97768752
January,396.0,402,550.9751243781094,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
January,397.0,329,657.5015197568389,Fulton St & Clermont Ave,40.68415748,-73.96922273
January,398.0,685,766.2218978102189,Atlantic Ave & Furman St,40.69165183,-73.99997859999999
January,399.0,574,1075.8170731707316,Lafayette Ave & St James Pl,40.68851534,-73.9647628
January,400.0,497,938.2535211267606,Pitt St & Stanton St,40.71926081,-73.98178024
January,401.0,2613,856.9575200918484,Allen St & Rivington St,40.72019576,-73.98997825
January,402.0,6752,809.7659952606635,Broadway & E 22 St,40.740343200000005,-73.98955109
January,403.0,2404,706.4991680532446,E 2 St & 2 Ave,40.72502876,-73.99069656
January,405.0,2177,856.2181901699587,Washington St & Gansevoort St,40.739323,-74.008119
January,406.0,1274,739.9403453689168,Hicks St & Montague St,40.69512845,-73.99595065
January,407.0,538,804.9386617100372,Henry St & Poplar St,40.700469,-73.991454
January,408.0,989,743.1900910010111,Market St & Cherry St,40.71076228,-73.99400398
January,409.0,429,949.6689976689977,DeKalb Ave & Skillman St,40.6906495,-73.95643107
January,410.0,2550,709.7976470588235,Suffolk St & Stanton St,40.72066442,-73.98517977
January,411.0,1299,796.2940723633565,E 6 St & Avenue D,40.72228087,-73.97668709
January,412.0,2156,924.4313543599258,Forsyth St & Canal St,40.715815500000005,-73.99422366
January,414.0,889,878.7525309336334,Pearl St & Anchorage Pl,40.70281858,-73.98765762
January,415.0,1395,806.6566308243728,Pearl St & Hanover Square,40.7047177,-74.00926027
January,416.0,871,572.8369690011481,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
January,417.0,2277,743.477821695213,Barclay St & Church St,40.71291224,-74.01020234
January,418.0,613,740.163132137031,Front St & Gold St,40.70224,-73.982578
January,419.0,634,1074.0694006309147,Carlton Ave & Park Ave,40.69580705,-73.97355569
January,420.0,555,564.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
January,421.0,548,620.1697080291971,Clermont Ave & Park Ave,40.69573398,-73.97129668
January,422.0,1540,822.3701298701299,W 59 St & 10 Ave,40.770513,-73.988038
January,423.0,1825,751.6641095890411,W 54 St & 9 Ave,40.76584941,-73.98690506
January,426.0,3258,861.683548189073,West St & Chambers St,40.71754834,-74.01322069
January,427.0,860,1106.3534883720931,Bus Slip & State St,40.701907,-74.013942
January,432.0,3201,633.0759137769447,E 7 St & Avenue A,40.72621788,-73.98379855
January,435.0,6501,606.2327334256269,W 21 St & 6 Ave,40.74173969,-73.99415556
January,436.0,287,1078.4076655052265,Hancock St & Bedford Ave,40.68216564,-73.95399026
January,437.0,1017,1514.3421828908554,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
January,438.0,2854,804.1804484933426,St Marks Pl & 1 Ave,40.72779126,-73.98564945
January,439.0,2878,738.2651146629604,E 4 St & 2 Ave,40.726280700000004,-73.98978041
January,440.0,2011,754.1700646444555,E 45 St & 3 Ave,40.75255434,-73.97282625
January,441.0,1551,688.1186331399098,E 52 St & 2 Ave,40.756014,-73.967416
January,442.0,3500,684.8928571428571,W 27 St & 7 Ave,40.746646999999996,-73.993915
January,443.0,259,1065.11583011583,Bedford Ave & S 9 St,40.70853074,-73.96408963
January,445.0,3519,677.1236146632566,E 10 St & Avenue A,40.72740794,-73.98142006
January,446.0,3891,656.2043176561295,W 24 St & 7 Ave,40.74487634,-73.99529885
January,447.0,2599,706.3609080415545,8 Ave & W 52 St,40.76370739,-73.9851615
January,448.0,2459,734.5429036193575,W 37 St & 10 Ave,40.75660359,-73.9979009
January,450.0,2830,622.8968197879859,W 49 St & 8 Ave,40.76227205,-73.98788205
January,453.0,3085,594.4025931928687,W 22 St & 8 Ave,40.74475148,-73.99915362
January,454.0,1168,734.2174657534247,E 51 St & 1 Ave,40.75455731,-73.96592976
January,455.0,2118,893.6383380547686,1 Ave & E 44 St,40.75001986,-73.96905301
January,456.0,2055,699.421897810219,E 53 St & Madison Ave,40.75971079999999,-73.97402311
January,458.0,2709,682.858250276855,11 Ave & W 27 St,40.751396,-74.00522600000001
January,459.0,4642,721.1156828953037,W 20 St & 11 Ave,40.746745000000004,-74.007756
January,460.0,1863,666.2238325281803,S 4 St & Wythe Ave,40.71285887,-73.96590294
January,461.0,3421,609.3972522654195,E 20 St & 2 Ave,40.73587678,-73.98205027
January,462.0,2880,691.4239583333333,W 22 St & 10 Ave,40.74691959,-74.00451887
January,465.0,4330,699.3732101616628,Broadway & W 41 St,40.75513557,-73.98658032
January,466.0,3277,670.6042111687519,W 25 St & 6 Ave,40.74395411,-73.99144871
January,467.0,1456,637.0206043956044,Dean St & 4 Ave,40.68312489,-73.97895137
January,468.0,4287,787.7921623512946,Broadway & W 56 St,40.7652654,-73.98192338
January,469.0,2149,631.0344346207538,Broadway & W 53 St,40.76344058,-73.98268129
January,470.0,2513,645.1977715877438,W 20 St & 8 Ave,40.74345335,-74.00004031
January,471.0,826,1450.2796610169491,Grand St & Havemeyer St,40.71286844,-73.95698119
January,472.0,4131,598.8477366255144,E 32 St & Park Ave,40.745712100000006,-73.98194829
January,473.0,1437,783.4516353514266,Rivington St & Chrystie St,40.72110063,-73.99192540000001
January,474.0,3023,726.2504134965267,5 Ave & E 29 St,40.7451677,-73.98683077
January,476.0,2892,608.7472337482711,E 31 St & 3 Ave,40.74394314,-73.97966069
January,477.0,5570,696.7947935368043,W 41 St & 8 Ave,40.75640548,-73.9900262
January,478.0,2783,702.3582464965864,11 Ave & W 41 St,40.76030096,-73.99884222
January,479.0,3187,687.9723878255412,9 Ave & W 45 St,40.76019252,-73.9912551
January,480.0,2482,599.6410153102337,W 53 St & 10 Ave,40.76669671,-73.99061728
January,481.0,956,897.4822175732218,S 3 St & Bedford Ave,40.71260486,-73.96264403
January,482.0,2594,674.8203546646106,W 15 St & 7 Ave,40.73935542,-73.99931783
January,483.0,600,600.2366666666667,E 12 St & 3 Ave,40.73223272,-73.98889957
January,484.0,2296,717.4394599303135,W 44 St & 5 Ave,40.75500254,-73.98014437
